Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_finished,Is_mechanical,Is_accident,Is_dsq,P1_missing,P2_missing,P3_missing,FastestLap,Engine,CircleLength,Quantity_of_circles,Quantity_of_drs,Quantity_of_turns,Tire_wear,Speed_of_turns,Downforce,Brake_load,Streets_or_not,Speed_of_track,PitStop_losing_time,Age,Average_pit_stop,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Pressure,Result_last_year,Salary,Team_financial_power,Regulation_Impact,Factorys_or_not,Strengh_of_first_partners,Driver_nationalitie,Points_before_race,Championship_position_before,teammate_points,points_ratio,points_ratio_log,avg_points_ratio,avg_last_3,avg_season
2018,1,Melbourne,VAN,McLaren,9.0,11,12,0,10.0,10.0,9.0,1,0,0,0,0,0,0,0,Renault,5.278,58,3,14,2,2,2,2,1,2,19.0,26,3.127,,,,,,,13.0,0.15,2,0.5,0,,BEL,0.0,,10.0,0.19999998000000202,0.18232154012728952,1.0,13.0,13.0
2018,1,Melbourne,VER,Red Bull Racing,6.0,4,4,0,3.0,2.0,4.0,1,0,0,0,0,0,0,0,Renault,5.278,58,3,14,2,2,2,2,1,2,19.0,21,2.552,,,,,,,5.0,11.0,3,0.5,0,,NED,0.0,,12.0,0.6666666111111158,0.5108255904326596,1.0,5.0,5.0
2018,1,Melbourne,VET,Ferrari,1.0,3,3,0,5.0,5.0,1.0,1,0,0,0,0,0,0,0,Ferrari,5.278,58,3,14,2,2,2,2,1,2,19.0,31,2.84,,,,,,,1.0,60.0,3,0.5,1,6.0,GER,0.0,,15.0,1.666666555555563,0.9808292113450615,1.0,1.0,1.0
2018,2,Sakhir,ALO,McLaren,7.0,13,13,0,11.0,9.0,10.0,1,0,0,0,0,0,0,0,Renault,5.412,57,3,15,3,2,2,3,0,2,20.0,37,3.127,28.1,32.19805825242719,46.4,False,0.9,1009.5,21.0,30.0,2,0.5,0,8.0,ESP,10.0,5.0,4.0,1.4999996250000938,0.9162905818741813,4.99999750000125,12.5,12.5
2018,2,Sakhir,BOT,Mercedes,2.0,3,3,0,2.0,3.0,6.0,1,0,0,0,0,0,0,1,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,29,2.777,28.1,32.19805825242719,46.4,False,0.9,1009.5,3.0,9.5,3,0.5,1,7.0,FIN,4.0,8.0,15.0,1.1999999200000053,0.7884573240006356,0.2222222098765439,5.5,5.5
2018,2,Sakhir,ERI,Sauber,9.0,17,17,0,17.0,19.0,16.0,1,0,0,0,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,28,2.968,28.1,32.19805825242719,46.4,False,0.9,1009.5,27.0,0.15,1,0.5,0,5.0,SWE,0.0,11.0,0.0,2000000.0,14.508658238524095,1.0,34.870000000000005,34.870000000000005
2018,2,Sakhir,GAS,Racing Bulls,4.0,5,6,0,7.0,8.0,9.0,1,0,0,0,0,0,0,0,Honda,5.412,57,3,15,3,2,2,3,0,2,20.0,22,3.003,28.1,32.19805825242719,46.4,False,0.9,1009.5,,1.5,2,0.5,0,6.0,FRA,0.0,11.0,0.0,12000000.0,16.300417291085605,1.0,46.93,46.93
2018,2,Sakhir,GRO,Haas F1 Team,13.0,16,16,0,6.0,11.0,12.0,1,0,0,0,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,32,3.311,28.1,32.19805825242719,46.4,False,0.9,1009.5,8.0,4.2,1,0.5,0,7.0,FRA,0.0,11.0,10.0,0.0,0.0,1.0,20.25,20.25
2018,2,Sakhir,HAM,Mercedes,3.0,9,4,0,5.0,4.0,4.0,1,0,0,0,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,33,2.777,28.1,32.19805825242719,46.4,False,0.9,1009.5,2.0,50.0,3,0.5,1,10.0,GBR,18.0,2.0,18.0,0.8333332870370396,0.6061357783177913,4.499998875000281,2.0,2.0
2018,2,Sakhir,HAR,Racing Bulls,17.0,11,11,0,16.0,20.0,11.0,1,0,0,0,0,0,0,0,Honda,5.412,57,3,15,3,2,2,3,0,2,20.0,29,3.003,28.1,32.19805825242719,46.4,False,0.9,1009.5,,0.15,2,0.5,0,,NZL,0.0,11.0,12.0,0.0,0.0,1.0,15.0,15.0
2018,2,Sakhir,HUL,Renault,6.0,7,8,0,10.0,7.0,7.0,1,0,0,0,0,0,0,0,Renault,5.412,57,3,15,3,2,2,3,0,2,20.0,31,3.473,28.1,32.19805825242719,46.4,False,0.9,1009.5,9.0,3.5,2,0.5,1,6.0,GER,6.0,7.0,0.0,8000000.0,15.894952224644102,5.999994000006001,8.0,8.0
2018,2,Sakhir,LEC,Sauber,12.0,19,19,0,12.0,16.0,18.0,1,0,0,0,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,21,2.968,28.1,32.19805825242719,46.4,False,0.9,1009.5,,0.15,1,0.5,0,8.0,MON,0.0,11.0,2.0,0.0,0.0,1.0,13.0,13.0
2018,2,Sakhir,MAG,Haas F1 Team,5.0,6,7,0,9.0,15.0,15.0,1,0,0,0,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,26,3.311,28.1,32.19805825242719,46.4,False,0.9,1009.5,23.0,4.0,1,0.5,0,7.0,DEN,0.0,11.0,0.0,10000000.0,16.118095750958314,1.0,26.725,26.725
2018,2,Sakhir,OCO,Racing Point,10.0,8,9,0,19.0,13.0,13.0,1,0,0,0,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,22,3.22,28.1,32.19805825242719,46.4,False,0.9,1009.5,10.0,2.0,2,0.5,0,7.0,FRA,0.0,11.0,0.0,1000000.0,13.815511557963774,1.0,11.0,11.0
2018,2,Sakhir,PER,Racing Point,16.0,12,12,0,18.0,14.0,14.0,1,0,0,0,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,28,3.22,28.1,32.19805825242719,46.4,False,0.9,1009.5,7.0,3.0,2,0.5,0,6.0,MEX,0.0,11.0,1.0,0.0,0.0,1.0,9.0,9.0
2018,2,Sakhir,RAI,Ferrari,27.72,2,2,0,3.0,1.0,1.0,0,1,0,0,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,39,2.84,28.1,32.19805825242719,46.4,False,0.9,1009.5,4.0,40.0,3,0.5,1,8.0,FIN,15.0,3.0,25.0,0.0,0.0,0.599999976000001,3.5,3.5
2018,2,Sakhir,RIC,Red Bull Racing,49.47,4,5,0,1.0,6.0,3.0,0,1,0,0,0,0,0,0,Renault,5.412,57,3,15,3,2,2,3,0,2,20.0,29,2.552,28.1,32.19805825242719,46.4,False,0.9,1009.5,5.0,6.0,3,0.5,0,6.0,AUS,12.0,4.0,0.0,1.0,0.6931471805599453,1.4999998125000236,4.5,4.5
2018,2,Sakhir,SAI,Renault,11.0,10,10,0,8.0,12.0,8.0,1,0,0,0,0,0,0,0,Renault,5.412,57,3,15,3,2,2,3,0,2,20.0,24,3.473,28.1,32.19805825242719,46.4,False,0.9,1009.5,25.0,3.0,2,0.5,1,9.0,ESP,1.0,10.0,8.0,0.0,0.0,0.16666663888889352,15.0,15.0
2018,2,Sakhir,SIR,Williams,15.0,18,18,0,15.0,18.0,19.0,1,0,0,0,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,23,3.228,28.1,32.19805825242719,46.4,False,0.9,1009.5,,0.15,1,0.5,0,,RUS,0.0,11.0,0.0,1.0,0.6931471805599453,1.0,49.79,49.79
2018,2,Sakhir,STR,Williams,14.0,20,20,0,14.0,17.0,20.0,1,0,0,0,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,20,3.228,28.1,32.19805825242719,46.4,False,0.9,1009.5,26.0,1.8,1,0.5,0,,CAN,0.0,11.0,0.0,1.0,0.6931471805599453,1.0,17.0,17.0
2018,2,Sakhir,VAN,McLaren,8.0,14,14,0,13.0,10.0,17.0,1,0,0,0,0,0,0,0,Renault,5.412,57,3,15,3,2,2,3,0,2,20.0,26,3.127,28.1,32.19805825242719,46.4,False,0.9,1009.5,22.0,0.15,2,0.5,0,,BEL,2.0,9.0,6.0,0.6666665555555741,0.510825557099333,0.19999998000000202,14.5,14.5
2018,2,Sakhir,VER,Red Bull Racing,48.42,15,15,0,,5.0,2.0,0,1,0,0,1,0,0,0,Renault,5.412,57,3,15,3,2,2,3,0,2,20.0,21,2.552,28.1,32.19805825242719,46.4,False,0.9,1009.5,24.0,11.0,3,0.5,0,,NED,8.0,6.0,0.0,1.0,0.6931471805599453,0.6666666111111158,13.0,13.0
2018,2,Sakhir,VET,Ferrari,1.0,1,1,0,4.0,2.0,5.0,1,0,0,0,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,31,2.84,28.1,32.19805825242719,46.4,False,0.9,1009.5,1.0,60.0,3,0.5,1,6.0,GER,25.0,1.0,0.0,25000000.0,17.034386422832473,1.666666555555563,1.0,1.0
2018,3,Shanghai,ALO,McLaren,7.0,13,13,0,12.0,10.0,12.0,1,0,0,0,0,0,0,0,Renault,5.451,56,2,16,2,2,2,2,0,2,21.0,37,3.127,19.4,37.01964285714286,23.95,True,1.8,1018.1,25.0,30.0,2,0.5,0,8.0,ESP,16.0,4.0,0.0,6000000.0,15.607270193858982,3.2499985625006715,10.666666666666666,10.666666666666666
2018,3,Shanghai,BOT,Mercedes,2.0,3,3,0,3.0,3.0,3.0,1,0,0,0,0,0,0,0,Mercedes,5.451,56,2,16,2,2,2,2,0,2,21.0,29,2.777,19.4,37.01964285714286,23.95,True,1.8,1018.1,6.0,9.5,3,0.5,1,7.0,FIN,22.0,3.0,12.0,1.4999998750000105,0.9162906818741581,0.7111110649382746,5.333333333333333,5.333333333333333
2018,3,Shanghai,ERI,Sauber,16.0,20,20,0,19.0,17.0,19.0,1,0,0,0,0,0,0,0,Ferrari,5.451,56,2,16,2,2,2,2,0,2,21.0,28,2.968,19.4,37.01964285714286,23.95,True,1.8,1018.1,15.0,0.15,1,0.5,0,5.0,SWE,2.0,12.0,0.0,1.0,0.6931471805599453,1000000.5,24.580000000000002,24.580000000000002
2018,3,Shanghai,GAS,Racing Bulls,18.0,17,17,0,11.0,12.0,16.0,1,0,0,0,0,0,0,0,Honda,5.451,56,2,16,2,2,2,2,0,2,21.0,22,3.003,19.4,37.01964285714286,23.95,True,1.8,1018.1,,1.5,2,0.5,0,6.0,FRA,12.0,7.0,0.0,1.0,0.6931471805599453,6000000.5,25.465,25.465
2018,3,Shanghai,GRO,Haas F1 Team,17.0,10,10,0,9.0,19.0,20.0,1,0,0,0,0,0,0,0,Ferrari,5.451,56,2,16,2,2,2,2,0,2,21.0,32,3.311,19.4,37.01964285714286,23.95,True,1.8,1018.1,11.0,4.2,1,0.5,0,7.0,FRA,0.0,15.0,1.0,0.0,0.0,0.5,18.833333333333332,18.833333333333332
2018,3,Shanghai,HAM,Mercedes,4.0,4,4,0,1.0,1.0,5.0,1,0,0,0,0,0,0,0,Mercedes,5.451,56,2,16,2,2,2,2,0,2,21.0,33,2.777,19.4,37.01964285714286,23.95,True,1.8,1018.1,1.0,50.0,3,0.5,1,10.0,GBR,33.0,2.0,18.0,0.6666666296296316,0.5108256015437694,2.6666660810186604,2.0,2.0
2018,3,Shanghai,HAR,Racing Bulls,21.05,15,15,0,16.0,15.0,14.0,0,1,0,0,0,0,0,0,Honda,5.451,56,2,16,2,2,2,2,0,2,21.0,29,3.003,19.4,37.01964285714286,23.95,True,1.8,1018.1,,0.15,2,0.5,0,,NZL,0.0,15.0,0.0,1.0,0.6931471805599453,0.5,16.0,16.0
2018,3,Shanghai,HUL,Renault,6.0,7,7,0,10.0,6.0,11.0,1,0,0,0,0,0,0,0,Renault,5.451,56,2,16,2,2,2,2,0,2,21.0,31,3.473,19.4,37.01964285714286,23.95,True,1.8,1018.1,12.0,3.5,2,0.5,1,6.0,GER,14.0,6.0,2.0,3.999998000001,1.6094375124342204,4000002.999997,8.333333333333334,8.333333333333334
2018,3,Shanghai,LEC,Sauber,19.0,19,19,0,17.0,18.0,18.0,1,0,0,0,0,0,0,0,Ferrari,5.451,56,2,16,2,2,2,2,0,2,21.0,21,2.968,19.4,37.01964285714286,23.95,True,1.8,1018.1,,0.15,1,0.5,0,8.0,MON,0.0,15.0,0.0,1.0,0.6931471805599453,0.5,12.5,12.5
2018,3,Shanghai,MAG,Haas F1 Team,10.0,11,11,0,7.0,7.0,6.0,1,0,0,0,0,0,0,0,Ferrari,5.451,56,2,16,2,2,2,2,0,2,21.0,26,3.311,19.4,37.01964285714286,23.95,True,1.8,1018.1,8.0,4.0,1,0.5,0,7.0,DEN,10.0,9.0,0.0,1000000.0,13.815511557963774,5000000.5,15.483333333333334,15.483333333333334
2018,3,Shanghai,OCO,Racing Point,11.0,12,12,0,14.0,13.0,8.0,1,0,0,0,0,0,0,0,Mercedes,5.451,56,2,16,2,2,2,2,0,2,21.0,22,3.22,19.4,37.01964285714286,23.95,True,1.8,1018.1,10.0,2.0,2,0.5,0,7.0,FRA,1.0,13.0,0.0,1.0,0.6931471805599453,500000.5,10.666666666666666,10.666666666666666
2018,3,Shanghai,PER,Racing Point,12.0,8,8,0,13.0,11.0,7.0,1,0,0,0,0,0,0,0,Mercedes,5.451,56,2,16,2,2,2,2,0,2,21.0,28,3.22,19.4,37.01964285714286,23.95,True,1.8,1018.1,9.0,3.0,2,0.5,0,6.0,MEX,0.0,15.0,0.0,1.0,0.6931471805599453,0.5,12.0,12.0
2018,3,Shanghai,RAI,Ferrari,3.0,2,2,0,2.0,2.0,2.0,1,0,0,0,0,0,0,0,Ferrari,5.451,56,2,16,2,2,2,2,0,2,21.0,39,2.84,19.4,37.01964285714286,23.95,True,1.8,1018.1,5.0,40.0,3,0.5,1,8.0,FIN,15.0,5.0,4.0,3.749999062500234,1.5581444206781585,0.2999999880000005,11.906666666666666,11.906666666666666
2018,3,Shanghai,RIC,Red Bull Racing,1.0,6,6,0,4.0,9.0,15.0,1,0,0,0,0,0,0,1,Renault,5.451,56,2,16,2,2,2,2,0,2,21.0,29,2.552,19.4,37.01964285714286,23.95,True,1.8,1018.1,4.0,6.0,3,0.5,0,6.0,AUS,12.0,7.0,10.0,2.499999750000025,1.2527628970668012,1.2499999062500118,19.156666666666666,19.156666666666666
2018,3,Shanghai,SAI,Renault,9.0,9,9,0,8.0,8.0,9.0,1,0,0,0,0,0,0,0,Renault,5.451,56,2,16,2,2,2,2,0,2,21.0,24,3.473,19.4,37.01964285714286,23.95,True,1.8,1018.1,7.0,3.0,2,0.5,1,9.0,ESP,1.0,13.0,8.0,0.24999996875000394,0.22314352631421258,0.08333331944444676,9.333333333333334,9.333333333333334
2018,3,Shanghai,SIR,Williams,15.0,16,16,0,15.0,16.0,10.0,1,0,0,0,0,0,0,0,Mercedes,5.451,56,2,16,2,2,2,2,0,2,21.0,23,3.228,19.4,37.01964285714286,23.95,True,1.8,1018.1,,0.15,1,0.5,0,,RUS,0.0,15.0,0.0,1.0,0.6931471805599453,1.0,32.394999999999996,32.394999999999996
2018,3,Shanghai,STR,Williams,14.0,18,18,0,20.0,20.0,17.0,1,0,0,0,0,0,0,0,Mercedes,5.451,56,2,16,2,2,2,2,0,2,21.0,20,3.228,19.4,37.01964285714286,23.95,True,1.8,1018.1,21.0,1.8,1,0.5,0,,CAN,0.0,15.0,0.0,1.0,0.6931471805599453,1.0,16.0,16.0
2018,3,Shanghai,VAN,McLaren,13.0,14,14,0,18.0,14.0,13.0,1,0,0,0,0,0,0,0,Renault,5.451,56,2,16,2,2,2,2,0,2,21.0,26,3.127,19.4,37.01964285714286,23.95,True,1.8,1018.1,23.0,0.15,2,0.5,0,,BEL,6.0,11.0,6.0,0.0,0.0,0.433333267777788,12.333333333333334,12.333333333333334
2018,3,Shanghai,VER,Red Bull Racing,5.0,5,5,0,5.0,5.0,4.0,1,0,0,0,0,0,0,0,Renault,5.451,56,2,16,2,2,2,2,0,2,21.0,21,2.552,19.4,37.01964285714286,23.95,True,1.8,1018.1,3.0,11.0,3,0.5,0,,NED,8.0,10.0,25.0,0.39999998400000064,0.33647222519264186,0.8333333055555578,19.14,19.14
2018,3,Shanghai,VET,Ferrari,8.0,1,1,0,6.0,4.0,1.0,1,0,0,0,0,0,0,0,Ferrari,5.451,56,2,16,2,2,2,2,0,2,21.0,31,2.84,19.4,37.01964285714286,23.95,True,1.8,1018.1,2.0,60.0,3,0.5,1,6.0,GER,50.0,1.0,15.0,0.2666666488888901,0.23638876402914352,12500000.833333278,1.3333333333333333,1.3333333333333333
2018,4,Baku,ALO,McLaren,7.0,12,13,0,7.0,6.0,11.0,1,0,0,0,0,0,0,0,Renault,6.003,51,2,20,3,2,2,3,1,2,21.0,37,3.127,16.6,25.25175438596491,46.4,False,2.2,1022.0,9.0,30.0,2,0.5,0,8.0,ESP,22.0,6.0,2.0,2.99999850000075,1.3862939861200079,2000002.1666657084,6.333333333333333,6.333333333333333
2018,4,Baku,BOT,Mercedes,20.59,3,3,0,1.0,4.0,5.0,0,1,0,0,0,0,0,1,Mercedes,6.003,51,2,20,3,2,2,3,1,2,21.0,29,2.777,16.6,25.25175438596491,46.4,False,2.2,1022.0,2.0,9.5,3,0.5,1,7.0,FIN,40.0,3.0,25.0,0.0,0.0,0.9740740016255199,4.0,4.0
2018,4,Baku,ERI,Sauber,11.0,18,18,0,17.0,20.0,19.0,1,0,0,0,0,0,0,0,Ferrari,6.003,51,2,20,3,2,2,3,1,2,21.0,28,2.968,16.6,25.25175438596491,46.4,False,2.2,1022.0,11.0,0.15,1,0.5,0,5.0,SWE,2.0,13.0,8.0,0.0,0.0,666667.3333333334,24.913333333333338,24.913333333333338
2018,4,Baku,GAS,Racing Bulls,12.0,17,17,0,9.0,15.0,13.0,1,0,0,0,0,0,0,0,Honda,6.003,51,2,20,3,2,2,3,1,2,21.0,22,3.003,16.6,25.25175438596491,46.4,False,2.2,1022.0,,1.5,2,0.5,0,6.0,FRA,12.0,9.0,1.0,0.0,0.0,4000000.6666666665,22.97666666666667,22.97666666666667
2018,4,Baku,GRO,Haas F1 Team,21.76,20,20,0,14.0,13.0,15.0,0,0,1,0,0,0,0,0,Ferrari,6.003,51,2,20,3,2,2,3,1,2,21.0,32,3.311,16.6,25.25175438596491,46.4,False,2.2,1022.0,13.0,4.2,1,0.5,0,7.0,FRA,0.0,15.0,0.0,1.0,0.6931471805599453,0.3333333333333333,20.833333333333332,20.833333333333332
2018,4,Baku,HAM,Mercedes,1.0,2,2,0,4.0,5.0,2.0,1,0,0,0,0,0,0,0,Mercedes,6.003,51,2,20,3,2,2,3,1,2,21.0,33,2.777,16.6,25.25175438596491,46.4,False,2.2,1022.0,5.0,50.0,3,0.5,1,10.0,GBR,45.0,2.0,0.0,25000000.0,17.034386422832473,1.9999995972223175,3.0,3.0
2018,4,Baku,HAR,Racing Bulls,10.0,19,19,0,12.0,18.0,20.0,1,0,0,0,0,0,0,0,Honda,6.003,51,2,20,3,2,2,3,1,2,21.0,29,3.003,16.6,25.25175438596491,46.4,False,2.2,1022.0,,0.15,2,0.5,0,,NZL,0.0,15.0,0.0,1000000.0,13.815511557963774,0.6666666666666666,17.683333333333334,17.683333333333334
2018,4,Baku,HUL,Renault,44.11,14,9,0,13.0,10.0,17.0,0,0,1,0,0,0,0,0,Renault,6.003,51,2,20,3,2,2,3,1,2,21.0,31,3.473,16.6,25.25175438596491,46.4,False,2.2,1022.0,25.0,3.5,2,0.5,1,6.0,GER,22.0,6.0,10.0,0.0,0.0,2666669.9999973336,6.333333333333333,6.333333333333333
2018,4,Baku,LEC,Sauber,6.0,13,14,0,16.0,16.0,14.0,1,0,0,0,0,0,0,0,Ferrari,6.003,51,2,20,3,2,2,3,1,2,21.0,21,2.968,16.6,25.25175438596491,46.4,False,2.2,1022.0,,0.15,1,0.5,0,8.0,MON,0.0,15.0,0.0,8000000.0,15.894952224644102,0.6666666666666666,14.666666666666666,14.666666666666666
2018,4,Baku,MAG,Haas F1 Team,13.0,15,15,0,18.0,9.0,7.0,1,0,0,0,0,0,0,0,Ferrari,6.003,51,2,20,3,2,2,3,1,2,21.0,26,3.311,16.6,25.25175438596491,46.4,False,2.2,1022.0,7.0,4.0,1,0.5,0,7.0,DEN,11.0,10.0,0.0,1.0,0.6931471805599453,3666667.0,16.150000000000002,16.150000000000002
2018,4,Baku,OCO,Racing Point,50.0,7,7,0,5.0,7.0,9.0,0,0,1,0,0,0,0,0,Mercedes,6.003,51,2,20,3,2,2,3,1,2,21.0,22,3.22,16.6,25.25175438596491,46.4,False,2.2,1022.0,6.0,2.0,2,0.5,0,7.0,FRA,1.0,14.0,15.0,0.0,0.0,333334.0,11.0,11.0
2018,4,Baku,PER,Racing Point,3.0,8,8,0,3.0,12.0,6.0,1,0,0,0,0,0,0,0,Mercedes,6.003,51,2,20,3,2,2,3,1,2,21.0,28,3.22,16.6,25.25175438596491,46.4,False,2.2,1022.0,27.0,3.0,2,0.5,0,6.0,MEX,0.0,15.0,0.0,15000000.0,16.52356082573315,0.6666666666666666,13.0,13.0
2018,4,Baku,RAI,Ferrari,2.0,6,6,0,15.0,2.0,3.0,1,0,0,0,0,0,0,0,Ferrari,6.003,51,2,20,3,2,2,3,1,2,21.0,39,2.84,16.6,25.25175438596491,46.4,False,2.2,1022.0,21.0,40.0,3,0.5,1,8.0,FIN,30.0,5.0,12.0,1.4999998750000105,0.9162906818741581,1.4499996795000785,11.24,11.24
