Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_accident,Is_finished,Is_mechanical,Is_dsq,P1_missing,P2_missing,P3_missing,FastestLap
2024,2,Jeddah,BOT,Sauber,17.0,16,16,0,11.0,20.0,18.0,0.0,1,0.0,0.0,0,0,0,0
2024,2,Jeddah,ZHO,Sauber,18.0,20,20,0,18.0,13.0,19.0,0.0,1,0.0,0.0,0,0,0,0
2024,2,Jeddah,STR,Aston Martin,47.0,10,10,0,9.0,6.0,7.0,1.0,0,0.0,0.0,0,0,0,0
2024,2,Jeddah,GAS,Alpine,49.4,18,18,0,17.0,9.0,12.0,0.0,0,1.0,0.0,0,0,0,0
2024,3,Melbourne,SAI,Ferrari,1.0,2,2,0,8.0,3.0,3.0,0.0,1,0.0,0.0,0,0,0,0
2024,3,Melbourne,LEC,Ferrari,2.0,4,5,0,4.0,1.0,1.0,0.0,1,0.0,0.0,0,0,0,1
2024,3,Melbourne,NOR,McLaren,3.0,3,4,0,1.0,9.0,10.0,0.0,1,0.0,0.0,0,0,0,0
2024,3,Melbourne,PIA,McLaren,4.0,5,6,0,10.0,7.0,8.0,0.0,1,0.0,0.0,0,0,0,0
2024,3,Melbourne,PER,Red Bull Racing,5.0,6,3,0,6.0,8.0,7.0,0.0,1,0.0,0.0,0,0,0,0
2024,3,Melbourne,STR,Aston Martin,6.0,9,9,0,7.0,4.0,9.0,0.0,1,0.0,0.0,0,0,0,0
2024,3,Melbourne,TSU,Racing Bulls,7.0,8,8,0,5.0,10.0,11.0,0.0,1,0.0,0.0,0,0,0,0
2024,3,Melbourne,ALO,Aston Martin,8.0,10,10,0,18.0,5.0,6.0,0.0,1,0.0,0.0,0,0,0,0
2024,3,Melbourne,HUL,Haas F1 Team,9.0,16,16,0,16.0,16.0,16.0,0.0,1,0.0,0.0,0,0,0,0
2024,3,Melbourne,MAG,Haas F1 Team,10.0,14,14,0,13.0,19.0,17.0,0.0,1,0.0,0.0,0,0,0,0
2024,3,Melbourne,ALB,Williams,11.0,12,12,0,12.0,,13.0,0.0,1,0.0,0.0,0,1,0,0
2024,3,Melbourne,RIC,Racing Bulls,12.0,18,18,0,11.0,12.0,18.0,0.0,1,0.0,0.0,0,0,0,0
2024,3,Melbourne,GAS,Alpine,13.0,17,17,0,17.0,15.0,19.0,0.0,1,0.0,0.0,0,0,0,0
2024,3,Melbourne,BOT,Sauber,14.0,13,13,0,20.0,14.0,12.0,0.0,1,0.0,0.0,0,0,0,0
2024,3,Melbourne,ZHO,Sauber,15.0,19,19,0,19.0,11.0,14.0,0.0,1,0.0,0.0,0,0,0,0
2024,3,Melbourne,OCO,Alpine,16.0,15,15,0,15.0,17.0,15.0,0.0,1,0.0,0.0,0,0,0,0
2024,3,Melbourne,RUS,Mercedes,20.35,7,7,0,3.0,6.0,5.0,1.0,0,0.0,0.0,0,0,0,0
2024,3,Melbourne,HAM,Mercedes,42.24,11,11,0,9.0,18.0,4.0,0.0,0,1.0,0.0,0,0,0,0
2024,3,Melbourne,VER,Red Bull Racing,48.45,1,1,0,2.0,2.0,2.0,0.0,0,1.0,0.0,0,0,0,0
2024,4,Suzuka,VER,Red Bull Racing,1.0,1,1,0,1.0,,1.0,0.0,1,0.0,0.0,0,1,0,1
2024,4,Suzuka,PER,Red Bull Racing,2.0,2,2,0,2.0,,2.0,0.0,1,0.0,0.0,0,1,0,0
2024,4,Suzuka,SAI,Ferrari,3.0,4,4,0,3.0,,7.0,0.0,1,0.0,0.0,0,1,0,0
2024,4,Suzuka,LEC,Ferrari,4.0,8,8,0,6.0,3.0,10.0,0.0,1,0.0,0.0,0,0,0,0
2024,4,Suzuka,NOR,McLaren,5.0,3,3,0,10.0,,6.0,0.0,1,0.0,0.0,0,1,0,0
2024,4,Suzuka,ALO,Aston Martin,6.0,5,5,0,7.0,,5.0,0.0,1,0.0,0.0,0,1,0,0
2024,4,Suzuka,RUS,Mercedes,7.0,9,9,0,4.0,,3.0,0.0,1,0.0,0.0,0,1,0,0
2024,4,Suzuka,PIA,McLaren,8.0,6,6,0,8.0,1.0,8.0,0.0,1,0.0,0.0,0,0,0,0
2024,4,Suzuka,HAM,Mercedes,9.0,7,7,0,5.0,2.0,4.0,0.0,1,0.0,0.0,0,0,0,0
2024,4,Suzuka,TSU,Racing Bulls,10.0,10,10,0,9.0,4.0,9.0,0.0,1,0.0,0.0,0,0,0,0
2024,4,Suzuka,HUL,Haas F1 Team,11.0,12,12,0,13.0,,16.0,0.0,1,0.0,0.0,0,1,0,0
2024,4,Suzuka,STR,Aston Martin,12.0,16,16,0,15.0,,18.0,0.0,1,0.0,0.0,0,1,0,0
2024,4,Suzuka,MAG,Haas F1 Team,13.0,18,18,0,19.0,,20.0,0.0,1,0.0,0.0,0,1,0,0
2024,4,Suzuka,BOT,Sauber,14.0,13,13,0,14.0,,12.0,0.0,1,0.0,0.0,0,1,0,0
2024,4,Suzuka,OCO,Alpine,15.0,15,15,0,11.0,,14.0,0.0,1,0.0,0.0,0,1,0,0
2024,4,Suzuka,GAS,Alpine,16.0,17,17,0,17.0,,17.0,0.0,1,0.0,0.0,0,1,0,0
2024,4,Suzuka,SAR,Williams,17.0,19,19,0,20.0,,19.0,0.0,1,0.0,0.0,0,1,0,0
2024,4,Suzuka,ZHO,Sauber,43.21,20,20,0,18.0,,15.0,0.0,0,1.0,0.0,0,1,0,0
2024,4,Suzuka,RIC,Racing Bulls,50.0,11,11,0,,,13.0,1.0,0,0.0,0.0,1,1,0,0
2024,4,Suzuka,ALB,Williams,50.0,14,14,0,12.0,,11.0,1.0,0,0.0,0.0,0,1,0,0
2024,5,Shanghai,VER,Red Bull Racing,1.0,1,1,1,3.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,5,Shanghai,NOR,McLaren,2.0,4,4,6,16.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,5,Shanghai,PER,Red Bull Racing,3.0,2,2,3,4.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,5,Shanghai,LEC,Ferrari,4.0,6,6,4,13.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,5,Shanghai,SAI,Ferrari,5.0,7,7,5,14.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,5,Shanghai,RUS,Mercedes,6.0,8,8,8,17.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,5,Shanghai,ALO,Aston Martin,7.0,3,3,20,19.0,,,0.0,1,0.0,0.0,0,1,1,1
2024,5,Shanghai,PIA,McLaren,8.0,5,5,7,2.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,5,Shanghai,HAM,Mercedes,9.0,18,18,2,18.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,5,Shanghai,HUL,Haas F1 Team,10.0,9,9,19,5.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,5,Shanghai,OCO,Alpine,11.0,13,13,13,7.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,5,Shanghai,ALB,Williams,12.0,14,14,17,8.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,5,Shanghai,GAS,Alpine,13.0,15,15,15,20.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,5,Shanghai,ZHO,Sauber,14.0,16,16,9,11.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,5,Shanghai,STR,Aston Martin,15.0,11,11,14,1.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,5,Shanghai,MAG,Haas F1 Team,16.0,17,17,10,6.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,5,Shanghai,SAR,Williams,17.0,20,20,18,15.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,5,Shanghai,RIC,Racing Bulls,28.21,12,12,11,9.0,,,1.0,0,0.0,0.0,0,1,1,0
2024,5,Shanghai,TSU,Racing Bulls,30.71,19,19,16,12.0,,,1.0,0,0.0,0.0,0,1,1,0
2024,5,Shanghai,BOT,Sauber,33.21,10,10,12,10.0,,,0.0,0,1.0,0.0,0,1,1,0
2024,6,Miami,NOR,McLaren,1.0,5,5,20,16.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,6,Miami,VER,Red Bull Racing,2.0,1,1,1,1.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,6,Miami,LEC,Ferrari,3.0,2,2,2,20.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,6,Miami,PER,Red Bull Racing,4.0,4,4,3,6.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,6,Miami,SAI,Ferrari,5.0,3,3,5,3.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,6,Miami,HAM,Mercedes,6.0,8,8,16,7.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,6,Miami,TSU,Racing Bulls,7.0,10,10,8,8.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,6,Miami,RUS,Mercedes,8.0,7,7,12,4.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,6,Miami,ALO,Aston Martin,9.0,15,15,17,19.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,6,Miami,OCO,Alpine,10.0,13,13,15,9.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,6,Miami,HUL,Haas F1 Team,11.0,9,9,7,13.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,6,Miami,GAS,Alpine,12.0,12,12,9,10.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,6,Miami,PIA,McLaren,13.0,6,6,6,2.0,,,0.0,1,0.0,0.0,0,1,1,1
2024,6,Miami,ZHO,Sauber,14.0,19,20,11,15.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,6,Miami,RIC,Racing Bulls,15.0,20,18,4,11.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,6,Miami,BOT,Sauber,16.0,16,16,14,17.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,6,Miami,STR,Aston Martin,17.0,11,11,19,5.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,6,Miami,ALB,Williams,18.0,14,14,13,14.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,6,Miami,MAG,Haas F1 Team,19.0,18,19,18,12.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,6,Miami,SAR,Williams,30.53,17,17,10,18.0,,,1.0,0,0.0,0.0,0,1,1,0
2024,7,Imola,VER,Red Bull Racing,1.0,1,1,0,5.0,7.0,6.0,0.0,1,0.0,0.0,0,0,0,0
2024,7,Imola,NOR,McLaren,2.0,2,3,0,8.0,12.0,2.0,0.0,1,0.0,0.0,0,0,0,0
2024,7,Imola,LEC,Ferrari,3.0,3,4,0,1.0,1.0,4.0,0.0,1,0.0,0.0,0,0,0,0
2024,7,Imola,PIA,McLaren,4.0,5,2,0,9.0,2.0,1.0,0.0,1,0.0,0.0,0,0,0,0
2024,7,Imola,SAI,Ferrari,5.0,4,5,0,3.0,6.0,3.0,0.0,1,0.0,0.0,0,0,0,0
2024,7,Imola,HAM,Mercedes,6.0,8,8,0,7.0,4.0,17.0,0.0,1,0.0,0.0,0,0,0,0
2024,7,Imola,RUS,Mercedes,7.0,6,6,0,2.0,5.0,5.0,0.0,1,0.0,0.0,0,0,0,1
2024,7,Imola,PER,Red Bull Racing,8.0,11,11,0,4.0,8.0,12.0,0.0,1,0.0,0.0,0,0,0,0
2024,7,Imola,STR,Aston Martin,9.0,13,13,0,12.0,13.0,9.0,0.0,1,0.0,0.0,0,0,0,0
2024,7,Imola,TSU,Racing Bulls,10.0,7,7,0,6.0,3.0,13.0,0.0,1,0.0,0.0,0,0,0,0
2024,7,Imola,HUL,Haas F1 Team,11.0,10,10,0,20.0,9.0,10.0,0.0,1,0.0,0.0,0,0,0,0
2024,7,Imola,MAG,Haas F1 Team,12.0,18,18,0,,17.0,16.0,0.0,1,0.0,0.0,1,0,0,0
2024,7,Imola,RIC,Racing Bulls,13.0,9,9,0,13.0,11.0,11.0,0.0,1,0.0,0.0,0,0,0,0
2024,7,Imola,OCO,Alpine,14.0,12,12,0,14.0,14.0,8.0,0.0,1,0.0,0.0,0,0,0,0
2024,7,Imola,ZHO,Sauber,15.0,17,17,0,17.0,19.0,20.0,0.0,1,0.0,0.0,0,0,0,0
2024,7,Imola,GAS,Alpine,16.0,15,15,0,11.0,15.0,19.0,0.0,1,0.0,0.0,0,0,0,0
2024,7,Imola,SAR,Williams,17.0,19,20,0,18.0,20.0,15.0,0.0,1,0.0,0.0,0,0,0,0
2024,7,Imola,BOT,Sauber,18.0,16,16,0,16.0,16.0,14.0,0.0,1,0.0,0.0,0,0,0,0
2024,7,Imola,ALO,Aston Martin,19.0,20,19,0,10.0,10.0,18.0,0.0,1,0.0,0.0,0,0,0,0
2024,7,Imola,ALB,Williams,21.91,14,14,0,19.0,18.0,7.0,0.0,0,1.0,0.0,0,0,0,0
2024,8,Monaco,LEC,Ferrari,1.0,1,1,0,5.0,1.0,1.0,0.0,1,0.0,0.0,0,0,0,0
2024,8,Monaco,PIA,McLaren,2.0,2,2,0,2.0,12.0,4.0,0.0,1,0.0,0.0,0,0,0,0
2024,8,Monaco,SAI,Ferrari,3.0,3,3,0,10.0,6.0,7.0,0.0,1,0.0,0.0,0,0,0,0
2024,8,Monaco,NOR,McLaren,4.0,4,4,0,4.0,5.0,8.0,0.0,1,0.0,0.0,0,0,0,0
2024,8,Monaco,RUS,Mercedes,5.0,5,5,0,3.0,10.0,6.0,0.0,1,0.0,0.0,0,0,0,0
2024,8,Monaco,VER,Red Bull Racing,6.0,6,6,0,11.0,4.0,2.0,0.0,1,0.0,0.0,0,0,0,0
2024,8,Monaco,HAM,Mercedes,7.0,7,7,0,1.0,2.0,3.0,0.0,1,0.0,0.0,0,0,0,1
2024,8,Monaco,TSU,Racing Bulls,8.0,8,8,0,8.0,11.0,9.0,0.0,1,0.0,0.0,0,0,0,0
2024,8,Monaco,ALB,Williams,9.0,9,9,0,15.0,9.0,12.0,0.0,1,0.0,0.0,0,0,0,0
2024,8,Monaco,GAS,Alpine,10.0,10,10,0,20.0,17.0,11.0,0.0,1,0.0,0.0,0,0,0,0
2024,8,Monaco,ALO,Aston Martin,11.0,14,14,0,6.0,3.0,10.0,0.0,1,0.0,0.0,0,0,0,0
2024,8,Monaco,RIC,Racing Bulls,12.0,12,12,0,9.0,16.0,18.0,0.0,1,0.0,0.0,0,0,0,0
2024,8,Monaco,BOT,Sauber,13.0,17,17,0,13.0,19.0,,0.0,1,0.0,0.0,0,0,1,0
2024,8,Monaco,STR,Aston Martin,14.0,13,13,0,7.0,7.0,15.0,0.0,1,0.0,0.0,0,0,0,0
2024,8,Monaco,SAR,Williams,15.0,15,15,0,17.0,18.0,17.0,0.0,1,0.0,0.0,0,0,0,0
2024,8,Monaco,ZHO,Sauber,16.0,18,18,0,19.0,20.0,19.0,0.0,1,0.0,0.0,0,0,0,0
2024,8,Monaco,OCO,Alpine,50.0,11,11,0,18.0,14.0,16.0,1.0,0,0.0,0.0,0,0,0,0
2024,8,Monaco,PER,Red Bull Racing,50.0,16,16,0,12.0,8.0,5.0,1.0,0,0.0,0.0,0,0,0,0
2024,8,Monaco,HUL,Haas F1 Team,50.0,19,14,0,16.0,15.0,13.0,1.0,0,0.0,0.0,0,0,0,0
2024,8,Monaco,MAG,Haas F1 Team,50.0,20,15,0,14.0,13.0,14.0,1.0,0,0.0,0.0,0,0,0,0
2024,9,Montréal,VER,Red Bull Racing,1.0,2,2,0,5.0,18.0,2.0,0.0,1,0.0,0.0,0,0,0,0
2024,9,Montréal,NOR,McLaren,2.0,3,3,0,1.0,20.0,7.0,0.0,1,0.0,0.0,0,0,0,0
2024,9,Montréal,RUS,Mercedes,3.0,1,1,0,10.0,2.0,3.0,0.0,1,0.0,0.0,0,0,0,0
2024,9,Montréal,HAM,Mercedes,4.0,7,7,0,4.0,7.0,1.0,0.0,1,0.0,0.0,0,0,0,1
2024,9,Montréal,PIA,McLaren,5.0,4,4,0,6.0,16.0,5.0,0.0,1,0.0,0.0,0,0,0,0
2024,9,Montréal,ALO,Aston Martin,6.0,6,6,0,,1.0,8.0,0.0,1,0.0,0.0,1,0,0,0
2024,9,Montréal,STR,Aston Martin,7.0,9,9,0,,3.0,4.0,0.0,1,0.0,0.0,1,0,0,0
2024,9,Montréal,RIC,Racing Bulls,8.0,5,5,0,11.0,5.0,6.0,0.0,1,0.0,0.0,0,0,0,0
2024,9,Montréal,GAS,Alpine,9.0,15,15,0,7.0,19.0,16.0,0.0,1,0.0,0.0,0,0,0,0
2024,9,Montréal,OCO,Alpine,10.0,18,18,0,,11.0,19.0,0.0,1,0.0,0.0,1,0,0,0
2024,9,Montréal,HUL,Haas F1 Team,11.0,17,19,0,,15.0,17.0,0.0,1,0.0,0.0,1,0,0,0
2024,9,Montréal,MAG,Haas F1 Team,12.0,14,14,0,13.0,6.0,11.0,0.0,1,0.0,0.0,0,0,0,0
2024,9,Montréal,BOT,Sauber,13.0,19,17,0,8.0,14.0,13.0,0.0,1,0.0,0.0,0,0,0,0
2024,9,Montréal,TSU,Racing Bulls,14.0,8,8,0,12.0,8.0,15.0,0.0,1,0.0,0.0,0,0,0,0
2024,9,Montréal,ZHO,Sauber,15.0,20,20,0,,17.0,,0.0,1,0.0,0.0,1,0,1,0
2024,9,Montréal,SAI,Ferrari,22.57,12,12,0,2.0,13.0,12.0,1.0,0,0.0,0.0,0,0,0,0
2024,9,Montréal,ALB,Williams,22.57,10,10,0,,9.0,18.0,1.0,0,0.0,0.0,1,0,0,0
2024,9,Montréal,PER,Red Bull Racing,22.57,16,16,0,9.0,10.0,9.0,1.0,0,0.0,0.0,0,0,0,0
2024,9,Montréal,LEC,Ferrari,28.57,11,11,0,3.0,4.0,10.0,0.0,0,1.0,0.0,0,0,0,0
2024,9,Montréal,SAR,Williams,33.43,13,13,0,,12.0,14.0,1.0,0,0.0,0.0,1,0,0,0
2024,10,Barcelona,VER,Red Bull Racing,1.0,2,2,0,2.0,5.0,4.0,0.0,1,0.0,0.0,0,0,0,0
2024,10,Barcelona,NOR,McLaren,2.0,1,1,0,1.0,3.0,2.0,0.0,1,0.0,0.0,0,0,0,1
2024,10,Barcelona,HAM,Mercedes,3.0,3,3,0,7.0,1.0,6.0,0.0,1,0.0,0.0,0,0,0,0
2024,10,Barcelona,RUS,Mercedes,4.0,4,4,0,4.0,8.0,5.0,0.0,1,0.0,0.0,0,0,0,0
2024,10,Barcelona,LEC,Ferrari,5.0,5,5,0,11.0,6.0,3.0,0.0,1,0.0,0.0,0,0,0,0
2024,10,Barcelona,SAI,Ferrari,6.0,6,6,0,3.0,2.0,1.0,0.0,1,0.0,0.0,0,0,0,0
2024,10,Barcelona,PIA,McLaren,7.0,9,10,0,6.0,7.0,10.0,0.0,1,0.0,0.0,0,0,0,0
2024,10,Barcelona,PER,Red Bull Racing,8.0,11,8,0,5.0,13.0,7.0,0.0,1,0.0,0.0,0,0,0,0
2024,10,Barcelona,GAS,Alpine,9.0,7,7,0,13.0,4.0,12.0,0.0,1,0.0,0.0,0,0,0,0
2024,10,Barcelona,OCO,Alpine,10.0,8,9,0,8.0,9.0,11.0,0.0,1,0.0,0.0,0,0,0,0
2024,10,Barcelona,HUL,Haas F1 Team,11.0,13,13,0,,12.0,13.0,0.0,1,0.0,0.0,1,0,0,0
2024,10,Barcelona,ALO,Aston Martin,12.0,10,11,0,9.0,14.0,9.0,0.0,1,0.0,0.0,0,0,0,0
2024,10,Barcelona,ZHO,Sauber,13.0,15,15,0,16.0,17.0,19.0,0.0,1,0.0,0.0,0,0,0,0
2024,10,Barcelona,STR,Aston Martin,14.0,14,14,0,14.0,18.0,17.0,0.0,1,0.0,0.0,0,0,0,0
2024,10,Barcelona,RIC,Racing Bulls,15.0,18,18,0,15.0,16.0,16.0,0.0,1,0.0,0.0,0,0,0,0
2024,10,Barcelona,BOT,Sauber,16.0,12,12,0,12.0,10.0,14.0,0.0,1,0.0,0.0,0,0,0,0
2024,10,Barcelona,MAG,Haas F1 Team,17.0,16,16,0,17.0,11.0,15.0,0.0,1,0.0,0.0,0,0,0,0
2024,10,Barcelona,ALB,Williams,18.0,20,19,0,10.0,19.0,8.0,0.0,1,0.0,0.0,0,0,0,0
2024,10,Barcelona,TSU,Racing Bulls,19.0,17,17,0,20.0,15.0,18.0,0.0,1,0.0,0.0,0,0,0,0
2024,10,Barcelona,SAR,Williams,20.0,19,20,0,18.0,20.0,20.0,0.0,1,0.0,0.0,0,0,0,0
2024,11,Spielberg,RUS,Mercedes,1.0,3,3,4,8.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,11,Spielberg,PIA,McLaren,2.0,7,7,2,2.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,11,Spielberg,SAI,Ferrari,3.0,4,4,5,4.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,11,Spielberg,HAM,Mercedes,4.0,5,5,6,5.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,11,Spielberg,VER,Red Bull Racing,5.0,1,1,1,1.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,11,Spielberg,HUL,Haas F1 Team,6.0,9,9,19,17.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,11,Spielberg,PER,Red Bull Racing,7.0,8,8,8,12.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,11,Spielberg,MAG,Haas F1 Team,8.0,12,12,9,19.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,11,Spielberg,RIC,Racing Bulls,9.0,11,11,14,16.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,11,Spielberg,GAS,Alpine,10.0,13,13,12,11.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,11,Spielberg,LEC,Ferrari,11.0,6,6,7,3.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,11,Spielberg,OCO,Alpine,12.0,10,10,11,6.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,11,Spielberg,STR,Aston Martin,13.0,17,17,10,7.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,11,Spielberg,TSU,Racing Bulls,14.0,14,14,13,9.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,11,Spielberg,ALB,Williams,15.0,16,16,17,18.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,11,Spielberg,BOT,Sauber,16.0,18,18,18,15.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,11,Spielberg,ZHO,Sauber,17.0,20,20,20,14.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,11,Spielberg,ALO,Aston Martin,18.0,15,15,15,10.0,,,0.0,1,0.0,0.0,0,1,1,1
2024,11,Spielberg,SAR,Williams,19.0,19,19,16,20.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,11,Spielberg,NOR,McLaren,20.0,2,2,3,13.0,,,0.0,1,0.0,0.0,0,1,1,0
2024,12,Silverstone,HAM,Mercedes,1.0,2,2,0,7.0,6.0,3.0,0.0,1,0.0,0.0,0,0,0,0
